Date,Open,High,Low,Close,Adj Close,Volume
2021-04-22,17199.0,17199.0,16552.599609375,16778.650390625,16687.802734375,11575
2021-04-23,16850.0,16850.0,16580.0,16624.44921875,16534.435546875,3178
2021-04-26,16800.05078125,16887.900390625,16700.0,16866.44921875,16775.126953125,1948
2021-04-27,16870.0,16910.05078125,16755.150390625,16783.19921875,16692.326171875,1609
2021-04-28,16849.0,16849.0,16601.349609375,16622.0,16532.0,23031
2021-04-29,16697.0,16709.94921875,16490.0,16506.94921875,16506.94921875,2328
2021-04-30,16510.0,16567.75,16271.4501953125,16311.099609375,16311.099609375,4122
2021-05-03,16352.0,16570.0,16267.0498046875,16500.69921875,16500.69921875,3965
2021-05-04,16564.80078125,16627.5,16391.5,16538.099609375,16538.099609375,2003
2021-05-05,16585.0,16602.0,16457.80078125,16550.19921875,16550.19921875,792
2021-05-06,16588.0,16767.0,16561.19921875,16727.0,16727.0,3968
2021-05-07,16780.0,16795.0,16660.099609375,16753.55078125,16753.55078125,2470
2021-05-10,16767.0,16844.400390625,16673.599609375,16763.599609375,16763.599609375,1989
2021-05-11,16760.0,16945.55078125,16707.0,16870.94921875,16870.94921875,1340
2021-05-12,16939.94921875,16939.94921875,16621.0,16713.75,16713.75,2318
2021-05-14,16750.0,17250.0,16714.0,17217.55078125,17217.55078125,3356
2021-05-17,17250.0,17281.099609375,17004.05078125,17037.0,17037.0,1725
2021-05-18,17035.0,17248.599609375,17035.0,17173.849609375,17173.849609375,1630
2021-05-19,17200.0,17467.75,17200.0,17444.25,17444.25,2757
2021-05-20,17480.0,17500.0,17217.75,17277.099609375,17277.099609375,2147
2021-05-21,17350.0,17550.0,17279.25,17491.94921875,17491.94921875,1872
2021-05-24,17450.0,17577.599609375,17310.25,17375.75,17375.75,2585
2021-05-25,17510.0,17750.0,17450.0,17529.0,17529.0,4951
2021-05-26,17525.0,17590.44921875,17370.05078125,17526.80078125,17526.80078125,2091
2021-05-27,17530.0,17894.0,17431.19921875,17772.55078125,17772.55078125,1471
2021-05-28,17620.0,17829.19921875,17475.94921875,17507.599609375,17507.599609375,2812
2021-05-31,17510.0,17740.94921875,17421.0,17692.69921875,17692.69921875,1861
2021-06-01,17600.0,17800.0,17500.0,17765.5,17765.5,1969
2021-06-02,17633.650390625,17808.0,17520.0,17645.849609375,17645.849609375,3155
2021-06-03,17670.0,17850.0,17557.44921875,17795.69921875,17795.69921875,1304
2021-06-04,17640.0,17683.75,17387.19921875,17445.150390625,17445.150390625,9003
2021-06-07,17450.05078125,17588.05078125,17350.150390625,17532.19921875,17532.19921875,3648
